aaa	T01445	Acidovorax avenae
bcep	T04772	Burkholderia cepacia ATCC 25416
bcer	T02291	Bacillus cereus FRI-35
bcet	T02934	Brucella ceti TE10759-12
bcew	T03488	Burkholderia cenocepacia DWS 37E-2
bcf	T01703	Bacillus cereus F837/76
bcg	T00815	Bacillus cereus G9842
bch	T00415	Burkholderia cenocepacia HI2424
bchi	T03543	Borreliella chilensis
bcho	T05748	Bifidobacterium choerinum
bchr	T02430	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
bci	T00349	Baumannia cicadellinicola Hc (Homalodisca coagulata)
bcib	T03277	Candidatus Baumannia cicadellinicola BGSS
bcig	T04544	Candidatus Baumannia cicadellinicola B-GSS
bcj	T00771	Burkholderia cenocepacia J2315
bck	T01527	Bacillus coagulans 2-6
bcl	T00228	Bacillus clausii
bcm	T00669	Burkholderia cenocepacia MC0-3
bcn	T00363	Burkholderia cenocepacia AU1054
bco	T01389	Bacillus cellulosilyticus
bcoa	T03712	Bacillus coagulans DSM 1 = ATCC 7050
bcom	T03106	Baudoinia panamericana
bcon	T03969	Burkholderia contaminans
bcor	T03236	Bifidobacterium coryneforme
bcp	T01660	Blattabacterium Cpu (Cryptocercus punctulatus)
bcq	T00852	Bacillus cereus Q1
bcr	T00799	Bacillus cereus AH187
bcs	T00623	Brucella canis ATCC 23365
bct	T02205	Burkholderia cepacia GG4
bcu	T00814	Bacillus cereus AH820
bcv	T00893	Beutenbergia cavernae
bcw	T02051	Borrelia crocidurae
bcx	T00869	Bacillus cereus 03BB102
bcy	T00560	Bacillus cytotoxicus
bcz	T00198	Bacillus cereus E33L
bde	T01143	Bifidobacterium dentium Bd1
bdf	T04698	Burkholderia diffusa
bdh	T03263	Bacteroides dorei HS1_L_3_B_079
bdi	T01717	Brachypodium distachyon
bdl	T03793	Burkholderia dolosa
bdm	T05851	Brevundimonas diminuta
bdn	T04222	Bifidobacterium dentium JCM 1195 = DSM 20436
bdo	T03262	Bacteroides dorei HS1_L_1_B_010
bdq	T05880	Bdellovibrio sp. qaytius
bdu	T00768	Borrelia duttonii
beb	T04342	Betaproteobacteria bacterium UKL13-2
beba	T04726	Betaproteobacteria bacterium GR16-43
bed	T03907	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
ben	T03906	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
beo	T03983	Bacillus endophyticus
beq	T02820	Theileria equi
bex	T02492	Bdellovibrio exovorus
bfa	T00965	Brachybacterium faecium
bfb	T03897	Bacteroides fragilis BOB25
bfg	T01691	Bacteroides fragilis 638R
bfi	T02581	Butyrivibrio fibrisolvens
bfl	T00138	Candidatus Blochmannia floridanus (Camponotus floridanus)
bfm	T04939	Brevibacillus formosus
bfn	T03799	Paraburkholderia fungorum
bfo	T01074	Branchiostoma floridae (Florida lancelet)
bfr	T00202	Bacteroides fragilis YCH46
bfs	T00239	Bacteroides fragilis NCTC9343
bfu	T01072	Botrytis cinerea
bfv	T04445	Brevibacterium flavum ZL-1
bfw	T05612	Blastomonas fulva
bfx	T04803	Bacillus flexus
bfz	T04592	Bordetella flabilis
bga	T00194	Borreliella bavariensis PBi
bgb	T02048	Borreliella garinii BgVir
bgc	T04731	Borreliella garinii CIP 103362
bgd	T01464	Burkholderia gladioli BSR3
bge	T01217	Burkholderia sp. CCGE1002
bgf	T01314	Burkholderia sp. CCGE1003
bgg	T05099	Brachybacterium ginsengisoli
bgi	T04820	Bacillus gibsonii
bgj	T05061	Brenneria goodwinii
bgl	T00905	Burkholderia glumae BGR1
bgm	T05441	Bordetella genomosp. 13
bgn	T02299	Borreliella garinii NMJW1
bgo	T03826	Burkholderia gladioli ATCC 10248
bgp	T03632	Burkholderia plantarii PG1
bgq	T05902	Bradyrhizobium guangdongense
bgr	T00922	Bartonella grahamii
bgs	T03259	Borreliella garinii SZ
bgu	T03820	Burkholderia glumae LMG 2196 = ATCC 33617
bgw	T03988	Candidate division Kazan bacterium GW2011_GWA1_50_15
bgy	T04537	Bacillus glycinifermentans
bha	T00039	Bacillus halodurans
bhan	T05095	Blautia hansenii
bhd	T04742	Brachyspira hyodysenteriae ATCC 27164
bhe	T00180	Bartonella henselae Houston-1
bhf	T05405	Bacteroides heparinolyticus
bhi	T03871	Borrelia hermsii CC1
bhk	T04904	Bacillus horikoshii
bhl	T01393	Bacteroides helcogenes
bhm	T03379	Bordetella holmesii 44057
bhn	T03068	Bartonella henselae BM1374163
bho	T03052	Bordetella holmesii ATCC 51541
bhp	T05655	Brachyspira hampsonii
bhr	T00764	Borrelia hermsii DAH
bhs	T03309	Bartonella henselae BM1374165
bhu	T04542	Butyrivibrio hungatei
bhy	T00865	Brachyspira hyodysenteriae WA1
bhz	T04004	Bordetella hinzii
bic	T04485	Bradyrhizobium icense
bid	T00688	Beijerinckia indica
bif	T02860	Bacillus infantis
bih	T05809	Candidatus Bipolaricaulis sp. Ch78
bii	T03564	Bifidobacterium indicum
bim	T04362	Bombus impatiens (common eastern bumble bee)
bip	T01847	Brachyspira intermedia
bit	T05513	Bacillus intestinalis
biu	T04792	Bos indicus (zebu cattle)
bja	T00109	Bradyrhizobium diazoefficiens USDA 110
bjp	T03509	Bradyrhizobium japonicum E109
bjs	T02027	Bacillus sp. JS
bju	T01848	Bradyrhizobium japonicum USDA 6
bka	T03496	Bifidobacterium kashiwanohense PV20-2
bko	T05194	Bacillus kochii
bks	T04223	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854
bkw	T04947	Bacillus krulwichiae
bla	T00819	Bifidobacterium animalis subsp. lactis AD011
blag	T05837	Blastochloris sp. GI
blas	T04450	Blastomonas sp. RAC04
blat	T04819	Burkholderia latens
blau	T05518	Blautia sp. N6H1-15
blb	T01345	Bifidobacterium longum subsp. longum BBMN68
blc	T00923	Bifidobacterium animalis subsp. lactis Bl-04
blck	T05708	Blattabacterium sp. (Cryptocercus kyebangensis)
bld	T00200	Bacillus licheniformis DSM 13 = ATCC 14580
ble	T03204	Bacillus lehensis
blep	T04090	Beggiatoa leptomitiformis
blf	T01420	Bifidobacterium longum subsp. infantis 157F
blg	T02580	Bifidobacterium longum subsp. longum F8
blh	T02694	Bacillus paralicheniformis
bli	T00197	Bacillus licheniformis ATCC 14580
blin	T04775	Brevibacterium aurantiacum
blj	T00707	Bifidobacterium longum DJO10A
blk	T01845	Bifidobacterium longum subsp. longum KACC 91563
bll	T01240	Bifidobacterium longum subsp. longum JDM301
blm	T01419	Bifidobacterium longum subsp. longum JCM 1217
bln	T00794	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
blo	T00094	Bifidobacterium longum NCC2705
blon	T02092	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
blp	T02525	Blattabacterium cuenoti
blq	T04172	Salinivirga cyanobacteriivorans
blr	T03762	Brevibacillus laterosporus
bls	T02080	Bifidobacterium animalis subsp. lactis Bi-07
blt	T00924	Bifidobacterium animalis subsp. lactis DSM 10140
blu	T02863	Blattabacterium sp. (Nauphoeta cinerea)
blv	T01843	Bifidobacterium animalis subsp. lactis V9
blw	T02079	Bifidobacterium animalis subsp. lactis B420
blx	T03387	Bifidobacterium longum BXY01
bly	T04319	Brevibacterium linens BS258
blz	T03452	Bifidobacterium longum subsp. longum GT15
bma	T00204	Burkholderia mallei ATCC 23344
bmab	T03872	Burkholderia mallei 2002734299
bmae	T03489	Burkholderia mallei 6
bmaf	T03523	Burkholderia mallei FMH 23344
bmai	T03522	Burkholderia mallei 2000031063
bmal	T03323	Burkholderia mallei 23344
bmaq	T03490	Burkholderia mallei BMQ
bmay	T04886	Borrelia mayonii
bmaz	T03524	Burkholderia mallei NCTC 10247
bmb	T00241	Brucella abortus bv. 1 9-941
bmc	T00703	Brucella abortus S19
bmd	T01219	Bacillus megaterium DSM 319
bme	T00072	Brucella melitensis bv. 1 16M
bmec	T04871	Burkholderia metallica
bmee	T03393	Brucella melitensis bv. 3 Ether
bmeg	T03825	Bacillus megaterium NBRC 15308 = ATCC 14581
bmel	T03831	Brucella melitensis bv. 1 16M
bmet	T03209	Bacillus methanolicus
bmf	T00304	Brucella abortus 2308
bmg	T01849	Brucella melitensis M5-90
bmh	T01890	Bacillus megaterium WSH-002
bmi	T00867	Brucella melitensis ATCC 23457
bmic	T05554	Babesia microti
bmiy	T03577	Borrelia miyamotoi CT14D4
bmj	T00740	Burkholderia multivorans ATCC 17616 (Tohoku)
bmk	T03292	Burkholderia multivorans DDS 15A-1
bml	T00471	Burkholderia mallei NCTC 10229
bmm	T01642	Blattabacterium sp. (Mastotermes darwiniensis)
bmn	T00479	Burkholderia mallei NCTC 10247
bmo	T02797	Borrelia miyamotoi LB-2001
bmor	T02817	Bombyx mori (domestic silkworm)
bmp	T03423	Bacillus velezensis
bmq	T01208	Bacillus megaterium QM B1551
bmr	T00955	Brucella microti
bms	T00096	Brucella suis 1330
bmt	T00638	Brucella suis ATCC 23445
bmu	T00624	Burkholderia multivorans ATCC 17616 (JGI)
bmul	T03881	Burkholderia multivorans ATCC BAA-247
bmur	T05340	Bacillus muralis
bmv	T00457	Burkholderia mallei SAVP1
bmw	T01853	Brucella melitensis NI
bmx	T01659	Halobacteriovorax marinus
bmy	T01050	Brugia malayi (filaria)
bmyc	T03239	Bacillus pseudomycoides 219298
bmyo	T03798	Bacillus mycoides ATCC 6462
bmz	T01852	Brucella melitensis M28
bna	T04128	Brassica napus (rape)
bnc	T01686	Bacillus cereus NC7401
bne	T04375	Brevundimonas naejangsanensis
bni	T02047	Bifidobacterium animalis subsp. animalis ATCC 25527
bnm	T01842	Bifidobacterium animalis subsp. lactis CNCM I-2494
boa	T04113	Bacteroides ovatus
boc	T03861	Burkholderia oklahomensis C6786
boe	T04124	Brassica oleracea (wild cabbage)
boh	T04979	Bordetella sp. H567
boi	T05753	Bosea sp. Tri-49
boj	T05850	Bordetella sp. J329
bok	T03284	Burkholderia oklahomensis E0147
bol	T03030	Brucella canis Oliveri
bom	T02919	Bos mutus (wild yak)
bon	T04330	Bacillus oceanisediminis
boo	T05925	Boseongicola sp. CCM32
bop	T04264	Bosea sp. PAMC 26642
bor	T03125	Bipolaris oryzae
bos	T04462	Bosea sp. RAC05
bot	T05524	Bradyrhizobium ottawaense
bov	T00534	Brucella ovis
boz	T05532	Bordetella sp. HZ20
bpa	T00140	Bordetella parapertussis 12822
bpak	T03987	Borrelia parkeri
bpar	T02297	Bordetella parapertussis Bpp5
bpb	T01292	Butyrivibrio proteoclasticus
bpc	T01846	Bordetella pertussis CS
bpd	T00481	Burkholderia pseudomallei 668
bpdz	T04945	Bordetella pseudohinzii
bpe	T00139	Bordetella pertussis Tohama I
bpec	T05002	Boleophthalmus pectinirostris (great blue-spotted mudskipper)
bper	T02296	Bordetella pertussis 18323
bpet	T03638	Bordetella pertussis B1917
bpeu	T03754	Bordetella pertussis 137
bpf	T01165	Bacillus pseudofirmus
bpg	T03089	Bathycoccus prasinos
bph	T00704	Paraburkholderia phymatum
bpi	T00996	Blattabacterium sp. BPLAN (Periplaneta americana)
bpip	T02387	Brachyspira pilosicoli P43/6/78
bpj	T02225	Brachyspira pilosicoli B2904
bpk	T02894	Burkholderia pseudomallei NCTC 13179
bpl	T00480	Burkholderia pseudomallei 1106a
bpla	T04139	Burkholderia plantarii ATCC 43733
bpm	T00289	Burkholderia pseudomallei 1710b
bpn	T00272	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bpo	T01278	Brachyspira pilosicoli 95/1000
bpp	T01589	Brucella pinnipedialis B2/94
bpq	T02301	Burkholderia pseudomallei BPC006
bpr	T00894	Burkholderia pseudomallei MSHR346
bprc	T02483	Beta proteobacterium CB
bprl	T02612	Anaerostipes hadrus
bprm	T02610	Butyrate-producing bacterium SM4/1
bpro	T05894	Blautia producta
bprs	T02611	Butyrate-producing bacterium SS3/4
bps	T00203	Burkholderia pseudomallei K96243
bpsa	T03476	Burkholderia pseudomallei NAU35A-3
bpsc	T03932	Bifidobacterium pseudocatenulatum
bpsd	T03163	Burkholderia pseudomallei MSHR520
bpse	T02756	Burkholderia pseudomallei MSHR305
bpsh	T03422	Burkholderia pseudomallei HBPUB10134a
bpsi	T03226	Basilea psittacipulmonis
bpsl	T04870	Burkholderia pseudomultivorans
bpsm	T03012	Burkholderia pseudomallei MSHR511
bpso	T03498	Burkholderia pseudomallei A79A
bpsp	T03529	Bifidobacterium pseudolongum
bpsu	T03024	Burkholderia pseudomallei MSHR146
bpt	T00637	Bordetella petrii
bpu	T00599	Bacillus pumilus SAFR-032
bpum	T03175	Bacillus pumilus MTCC B6033
bpus	T04776	Bacillus pumilus SH-B9
bpv	T03261	Brucella pinnipedialis 6/566
bpw	T02412	Brachyspira pilosicoli WesB
bpx	T02300	Paraburkholderia phenoliruptrix
bpy	T00765	Paraburkholderia phytofirmans
bpyr	T03962	Burkholderia pyrrocinia
bpz	T02049	Burkholderia pseudomallei 1026b
bql	T01835	Bacillus amyloliquefaciens LL3
bqr	T02294	Bartonella quintana RM-11
bqu	T00181	Bartonella quintana Toulouse
bqy	T02108	Bacillus amyloliquefaciens Y2
bra	T00516	Bradyrhizobium sp. ORS 278
brad	T04337	Bradyrhizobium sp. BF49
brb	T05976	Brenneria rubrifaciens
brc	T04273	Bradyrhizobium sp. CCGE-LA001
brd	T04101	Brevundimonas sp. DS20
bre	T00769	Borrelia recurrentis
brg	T04395	Brevundimonas sp. GW460-12-10-14-LB2
brh	T01355	Paraburkholderia rhizoxinica
bri	T05958	Brevibacterium sp. CS2
brk	T05325	Bradyrhizobium sp. SK17
brl	T04750	Brevundimonas sp. LM2
brm	T01229	Brachyspira murdochii
brn	T05594	Breoghania sp. L-A4
bro	T04956	Bradyrhizobium sp. ORS 285
brp	T03449	Brassica rapa (field mustard)
brq	T05700	Bradyrhizobium sp. 2 39S1MB
brs	T01796	Bradyrhizobium sp. S23321
bru	T05682	Brucella sp. 2002734562
brv	T04950	Brachybacterium sp. VR2415
brx	T04713	Brachybacterium sp. P6-10-X1
brz	T05108	Brachybacterium sp. VM2412
bsa	T01433	Bacteroides salanitronis
bsaf	T05386	Bacillus safensis
bsan	T04982	Bacterioplanes sanyensis
bsau	T05573	Brachybacterium saurashtrense
bsb	T01291	Brevundimonas subvibrioides
bsc	T03124	Bipolaris sorokiniana
bsca	T03975	Bifidobacterium scardovii
bsd	T01752	Blastococcus saxobsidens
bse	T01243	Bacillus selenitireducens
bsed	T05497	Bradymonas sediminis
bsem	T04851	Burkholderia seminalis
bsf	T03181	Brucella suis bv. 1
bsg	T03427	Brucella suis ZW046
bsh	T02503	Bacillus subtilis subsp. subtilis 6051-HGW
bsi	T02103	Brucella suis 1330
bsj	T04304	Bacillus simplex
bsk	T01705	Brucella canis HSK A52141
bsl	T02384	Bacillus subtilis subsp. subtilis BSP1
bsm	T03984	Bacillus smithii
bsn	T01417	Bacillus subtilis BSn5
bso	T02607	Bacillus subtilis subsp. natto BEST195
bsp	T02937	Bacillus subtilis PY79
bsq	T02292	Bacillus subtilis QB928
bsr	T01837	Bacillus subtilis subsp. subtilis RO-NN-1
bss	T01302	Bacillus subtilis subsp. spizizenii W23
bst	T01635	Bacillus subtilis subsp. spizizenii TU-B-10
bstg	T04885	Burkholderia stagnalis
bstl	T04946	Burkholderia stabilis
bsto	T05263	Bacteriovorax stolpii
bsu	T00010	Bacillus subtilis subsp. subtilis 168
bsuc	T03741	Brucella suis bv. 2 Bs364CITA
bsui	T03367	Brucella suis bv. 2 Bs143CITA
bsul	T03443	Bacillus subtilis subsp. subtilis JH642
bsup	T03503	Brucella suis bv. 2 PT09143
bsus	T03469	Bacillus subtilis subsp. subtilis OH 131.1
bsut	T03442	Bacillus subtilis subsp. subtilis AG1839
bsuv	T03504	Brucella suis bv. 2 PT09172
bsv	T01706	Brucella suis VBI22
bsw	T03426	Brucella suis ZW043
bsx	T02459	Bacillus subtilis XF-1
bsy	T02520	Bacillus subtilis subsp. subtilis BAB-1
bsz	T03266	Brucella suis bv. 3
bta	T01008	Bos taurus (cow)
btb	T01239	Bacillus thuringiensis BMB171
btc	T01838	Bacillus thuringiensis serovar chinensis CT-43
btd	T02644	Burkholderia thailandensis MSMB121
bte	T00311	Burkholderia thailandensis E264
btei	T04843	Burkholderia territorii
bter	T04364	Bombus terrestris (buff-tailed bumblebee)
btf	T01839	Bacillus thuringiensis serovar finitimus YBT-020
btg	T02277	Bacillus thuringiensis Bt407
bth	T00122	Bacteroides thetaiotaomicron VPI-5482
btha	T03763	Burkholderia thailandensis 2003015869
bthe	T03380	Burkholderia thailandensis E254
bthi	T03473	Bacillus thuringiensis serovar kurstaki HD-1
bthl	T03882	Burkholderia thailandensis 2002721643
btho	T04540	Bacteroides thetaiotaomicron 7330
bthr	T03435	Bacillus thuringiensis serovar kurstaki YBT-1520
bths	T05089	Brochothrix thermosphacta
btht	T02474	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	T02930	Bacillus thuringiensis YBT-1518
bthy	T04752	Bacillus thuringiensis YWC2-8
bti	T02293	Bacillus thuringiensis HD-771
btj	T03112	Burkholderia thailandensis E444
btk	T00179	Bacillus thuringiensis serovar konkukian 97-27
btl	T00429	Bacillus thuringiensis Al Hakam
btm	T02263	Bacillus thuringiensis MC28
btn	T02411	Bacillus thuringiensis HD-789
bto	T02504	Bibersteinia trehalosi USDA-ARS-USMARC-192
btp	T02505	Bifidobacterium thermophilum
btq	T03111	Burkholderia thailandensis 2002721723
btr	T00636	Bartonella tribocorum CIP 105476
btra	T03019	Bibersteinia trehalosi USDA-ARS-USMARC-190
btre	T03017	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	T03018	Bibersteinia trehalosi USDA-ARS-USMARC-189
btrm	T04322	Bordetella trematum
bts	T01220	Kyrpidia tusciae
btt	T02460	Bacillus thuringiensis serovar kurstaki HD73
btu	T00737	Borrelia turicatae
btur	T05670	Borrelia turcica
btv	T03416	Burkholderia thailandensis MSMB59
btw	T03675	Bacillus thuringiensis HD1011
btx	T03233	Bartonella tribocorum BM1374166
bty	T02901	Bacillus toyonensis
btz	T03113	Burkholderia thailandensis H0587
bua	T01828	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bub	T03794	Burkholderia ubonensis
buc	T00036	Buchnera aphidicola APS (Acyrthosiphon pisum)
bud	T04266	Burkholderia sp. Bp5365
bue	T03604	Burkholderia sp. RPE67
buf	T05676	Buttiauxella sp. 3AFRM03
bug	T01424	Burkholderia sp. CCGE1001
buh	T01830	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bui	T05699	Burkholderia sp. PAMC 28687
buj	T01596	Stenotrophomonas maltophilia JV3
buk	T02110	Burkholderia sp. KJ006
bul	T03759	Burkholderia sp. 2002721687
bum	T05481	Burkholderia sp. PAMC 26561
buo	T02684	Burkholderia insecticola
bup	T01829	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
buq	T04094	Burkholderia sp. HB1
bur	T00286	Burkholderia lata
but	T03428	Burkholderia pseudomallei TSV202
buy	T05785	Butyricimonas sp. H184
buz	T05111	Burkholderia sp. OLGA172
bva	T01398	Candidatus Blochmannia vafer (Camponotus vafer)
bvc	T04934	Brevundimonas vesicularis
bve	T03893	Burkholderia vietnamiensis LMG 10929
bvg	T03548	Beta vulgaris (sugar beet)
bvi	T00493	Burkholderia vietnamiensis G4
bvl	T04257	Brucella vulpis
bvm	T04948	Bacillus vallismortis
bvn	T02470	Bartonella vinsonii
bvr	T04109	Blastochloris viridis
bvs	T02986	Barnesiella viscericola
bvt	T03221	Borreliella valaisiana
bvu	T00546	Bacteroides vulgatus
bvv	T04483	Bosea vaviloviae
bwd	T05831	Bacillus wiedmannii
bwe	T00642	Bacillus mycoides KBAB4
bwh	T04822	Bacillus weihaiensis
bww	T03453	Bacillus mycoides WSBC 10204
bxb	T03290	Paraburkholderia xenovorans LB400
bxe	T00340	Paraburkholderia xenovorans LB400
bxh	T01836	Bacillus amyloliquefaciens XH7
bxi	T04852	Bacillus xiamenensis
bxy	T02579	Bacteroides xylanisolvens
bya	T02050	Bacillus velezensis YAU B9601-Y2
byi	T01711	Burkholderia sp. YI23
byl	T04458	Blautia sp. YL58
bze	T03110	Bipolaris zeicola
bzg	T05371	Bacteroides zoogleoformans
caa	T01204	Coraliomargarita akajimensis
cab	T00242	Chlamydia abortus S26/3
cabo	T03773	Chlamydia abortus
caby	T04549	Caldithrix abyssi
cac	T00056	Clostridium acetobutylicum ATCC 824
cace	T03971	Clostridium aceticum
caci	T04769	Candidatus Cloacimonas acidaminovorans
cacn	T04624	Cutibacterium acnes KCOM 1861 (= ChDC B594)
cad	T02255	Gottschalkia acidurici
cae	T01548	Clostridium acetobutylicum DSM 1731
caer	T05143	Collinsella aerofaciens
caf	T04738	Citrobacter amalonaticus FDAARGOS_165
cag	T00824	Chloroflexus aggregans
cah	T02883	Clostridium autoethanogenum
cai	T00967	Catenulispora acidiphila
caj	T03252	Campylobacter iguaniorum
cak	T00651	Caulobacter sp. K31
cal	T00189	Candida albicans
calh	T03937	Calothrix sp. 336/3
calo	T02358	Calothrix sp. PCC 7507
calt	T02372	Calothrix sp. PCC 6303
cam	T02819	Cicer arietinum (chickpea)
cama	T03934	Citrobacter amalonaticus Y19
camg	T05164	Corynebacterium ammoniagenes
camp	T02899	Campylobacter fetus subsp. testudinum 03-427
camr	T03560	Campylobacter sp. RM16704
camu	T03993	Cyclobacterium amurskyense
camy	T05900	Campylobacter sp. RM6137
camz	T05727	Campylobacter sp. RM12175
can	T02376	Cyanobacterium aponinum
cann	T04646	Capsicum annuum
cao	T01404	Cellulophaga algicola
cap	T01797	Caldilinea aerophila
caph	T05519	Capnocytophaga sp. H4358
capn	T04940	Capnocytophaga sp. ChDC OS43
capq	T05889	Capnocytophaga sp. H2931
capr	T05807	Caproiciproducens sp. NJN-50
caq	T03240	Candidatus Paracaedimonas acanthamoebae
caqu	T05112	Corynebacterium aquilae
car	T00887	Corynebacterium aurimucosum
carc	T04230	Carnobacterium sp. CP1
care	T03512	Collimonas arenae
carg	T05123	Clostridium argentinense
carh	T05746	Chryseobacterium arthrosphaerae
cart	T04435	Cryobacterium arcticum
cat	T01256	Croceibacter atlanticus
cate	T05408	Catenovulum sp. CCB-QB4
cau	T00639	Chloroflexus aurantiacus
cauf	T05901	Caulobacter sp. FWC26
caur	T04850	Candida auris
cav	T03069	Chlamydia avium
cavi	T05533	Campylobacter avium
caw	T02884	Carnobacterium inhibens
cax	T03227	Corynebacterium atypicum
cay	T01864	Clostridium acetobutylicum EA 2018
caz	T02821	Corynebacterium argentoratense
cba	T00574	Clostridium botulinum A ATCC 19397
cbaa	T03614	Serpentinomonas raichei
cbab	T03627	Serpentinomonas mccroryi
cbac	T03545	Coriobacteriaceae bacterium 68-1-3
cbae	T05360	Chitinophaga caeni
cbal	T03562	Cellulophaga baltica NN016038
cbar	T05737	Clostridiales bacterium 70B-A
cbat	T03565	Cellulophaga baltica 18
cbb	T00671	Clostridium botulinum B1 Okra
cbc	T00788	Coxiella burnetii CbuK_Q154
cbd	T00583	Coxiella burnetii Dugway 5J108-111
cbe	T00547	Clostridium beijerinckii NCIMB 8052
cbei	T04773	Clostridium beijerinckii NCIMB 14988
cber	T05628	Colwellia beringensis
cbf	T00563	Clostridium botulinum F Langeland
cbg	T00787	Coxiella burnetii CbuG_Q212
cbh	T00575	Clostridium botulinum A Hall
cbi	T00895	Clostridium botulinum Ba4
cbj	T02076	Clostridium botulinum H04402 065
cbk	T00696	Clostridium botulinum B Eklund 17B (NRP)
cbl	T00670	Clostridium botulinum A3 Loch Maree
cbm	T01865	Clostridium botulinum F 230613
cbn	T01475	Clostridium botulinum BKT015925
cbo	T00533	Clostridium botulinum A ATCC 3502
cbol	T05466	Clostridium bolteae
cbot	T04422	Caulobacteraceae bacterium OTSz_A_272
cbq	T04080	Lawsonella clevelandensis
cbr	T01054	Caenorhabditis briggsae
